task,layer,abc,mtf,delta_abc_minus_mtf
MNID,0,0.9456,0.7728,0.1728
MNID,1,0.9447,0.8163,0.1283
MNID,2,0.9488,0.8087,0.1401
MNID,3,0.9492,0.8202,0.1290
MNID,4,0.9404,0.8229,0.1175
MNID,5,0.9367,0.8337,0.1030
MNID,6,0.9363,0.8362,0.1001
MNID,7,0.9372,0.8122,0.1250
MNID,8,0.9366,0.8047,0.1319
MNID,9,0.9331,0.7761,0.1570
MNID,10,0.9327,0.7607,0.1720
MNID,11,0.9208,0.7518,0.1690
MNID,12,0.9133,0.6971,0.2162
MNID,meanall,0.9361,0.7846,0.1515
Retrieval,0,0.4410,0.4037,0.0372
Retrieval,1,0.4786,0.4014,0.0772
Retrieval,2,0.5066,0.4163,0.0903
Retrieval,3,0.4979,0.4379,0.0600
Retrieval,4,0.4890,0.4517,0.0373
Retrieval,5,0.4769,0.4587,0.0183
Retrieval,6,0.4699,0.4705,-0.0006
Retrieval,7,0.4702,0.4737,-0.0035
Retrieval,8,0.4780,0.4671,0.0109
Retrieval,9,0.4727,0.4590,0.0137
Retrieval,10,0.4773,0.4522,0.0252
Retrieval,11,0.5083,0.4242,0.0840
Retrieval,12,0.4722,0.3808,0.0914
Retrieval,meanall,0.5088,  --  ,  --
