rank,layer,n_folds,acc_mean,auc_pr_mean,auc_roc_mean,f1_mean,precision_mean,recall_mean,acc_std,auc_pr_std,auc_roc_std,f1_std,precision_std,recall_std
1,6,5,0.7525,0.8251,0.8362,0.7484,0.7587,0.7494,0.0341,0.0303,0.0272,0.0384,0.0295,0.0379
2,5,5,0.753,0.8231,0.8337,0.7512,0.7537,0.7511,0.0278,0.028,0.0253,0.0303,0.0278,0.0306
3,4,5,0.7484,0.8126,0.8229,0.7464,0.749,0.7463,0.0447,0.0422,0.043,0.0466,0.0448,0.0467
4,3,5,0.75,0.81,0.8202,0.7465,0.7529,0.7466,0.0387,0.0279,0.0317,0.0433,0.0363,0.0433
5,1,5,0.7489,0.802,0.8163,0.745,0.7534,0.7451,0.0261,0.0255,0.0243,0.0305,0.0238,0.0307
6,7,5,0.7349,0.799,0.8122,0.7309,0.7386,0.7318,0.0363,0.0379,0.0327,0.0416,0.0318,0.0406
7,2,5,0.7404,0.7961,0.8087,0.737,0.7432,0.7373,0.0312,0.0315,0.0298,0.0357,0.0303,0.036
8,8,5,0.7237,0.7931,0.8047,0.7184,0.7299,0.7199,0.0256,0.0212,0.0222,0.0327,0.0234,0.0321
9,9,5,0.692,0.7669,0.7761,0.6862,0.6964,0.6882,0.0384,0.0415,0.0426,0.0454,0.0432,0.045
10,0,5,0.7146,0.7565,0.7728,0.7114,0.715,0.7119,0.0601,0.0757,0.075,0.0645,0.0621,0.0643
11,10,5,0.6922,0.7478,0.7607,0.6861,0.6978,0.6885,0.0381,0.0444,0.0468,0.0445,0.0423,0.0441
12,11,5,0.6864,0.7385,0.7518,0.6822,0.6883,0.6835,0.0375,0.0446,0.0464,0.0422,0.0384,0.0417
13,12,5,0.6477,0.6873,0.6971,0.6408,0.6495,0.6434,0.031,0.0638,0.0587,0.0386,0.033,0.0368
,meanall,5,0.7188,0.771,0.7846,0.7141,0.7226,0.7148,0.0249,0.0448,0.041,0.0307,0.024,0.0304
