task,layer,abc_map,mtf_map,delta_abc_minus_mtf
TuneFamily,0,0.5514,0.3378,0.2136
TuneFamily,1,0.5880,0.3493,0.2387
TuneFamily,2,0.6014,0.3649,0.2366
TuneFamily,3,0.6160,0.3913,0.2246
TuneFamily,4,0.6272,0.4141,0.2131
TuneFamily,5,0.6334,0.4400,0.1934
TuneFamily,6,0.6382,0.4599,0.1783
TuneFamily,7,0.6443,0.4803,0.1640
TuneFamily,8,0.6359,0.4751,0.1608
TuneFamily,9,0.6442,0.4748,0.1694
TuneFamily,10,0.6324,0.4529,0.1795
TuneFamily,11,0.6271,0.4921,0.1350
TuneFamily,12,0.5729,0.4562,0.1167
TuneFamily,meanall,0.6400,0.4997,0.1402
Motif,0,0.5354,0.4916,0.0439
Motif,1,0.5698,0.5171,0.0527
Motif,2,0.5749,0.5214,0.0534
Motif,3,0.5866,0.5223,0.0643
Motif,4,0.5831,0.5331,0.0500
Motif,5,0.5816,0.5390,0.0426
Motif,6,0.5836,0.5447,0.0389
Motif,7,0.5893,0.5485,0.0408
Motif,8,0.5974,0.5517,0.0457
Motif,9,0.5981,0.5714,0.0267
Motif,10,0.5855,0.5693,0.0162
Motif,11,0.5517,0.5470,0.0047
Motif,12,0.5349,0.5469,-0.0120
Motif,meanall,0.5837,0.5706,0.0131
