encoder,layer,rpa,rca
MuQ,0,0.41489,0.60221
MuQ,1,0.46064,0.64712
MuQ,2,0.47327,0.65798
MuQ,3,0.47000,0.65543
MuQ,4,0.46438,0.64703
MuQ,5,0.45484,0.63398
MuQ,6,0.44927,0.62774
MuQ,7,0.43791,0.61465
MuQ,8,0.43115,0.60157
MuQ,9,0.45391,0.63478
MuQ,10,0.45070,0.62726
MuQ,11,0.46257,0.64693
MuQ,12,0.47264,0.65380
MuQ,meanall,0.47197,0.65611
MuQ,weighted,0.48218,0.66714
MERT-v1-95M,0,0.39092,0.55833
MERT-v1-95M,1,0.39518,0.56306
MERT-v1-95M,2,0.40031,0.57002
MERT-v1-95M,3,0.39961,0.56647
MERT-v1-95M,4,0.40508,0.57039
MERT-v1-95M,5,0.40629,0.56923
MERT-v1-95M,6,0.40403,0.56690
MERT-v1-95M,7,0.40764,0.57034
MERT-v1-95M,8,0.42339,0.59171
MERT-v1-95M,9,0.42572,0.59749
MERT-v1-95M,10,0.42522,0.59845
MERT-v1-95M,11,0.41315,0.58559
MERT-v1-95M,12,0.39654,0.56499
MERT-v1-95M,meanall,0.42635,0.59803
MERT-v1-95M,weighted,0.43023,0.60389
