query_program,target_program,map,n_queries
0,0,0.336727,12870
0,24,0.277510,12870
0,48,0.225926,12870
0,52,0.191135,12870
0,60,0.239830,12870
0,73,0.229501,12870
0,80,0.197334,12870
0,89,0.141837,12870
24,0,0.286725,12870
24,24,0.333351,12870
24,48,0.247793,12870
24,52,0.225530,12870
24,60,0.288176,12870
24,73,0.288427,12870
24,80,0.231433,12870
24,89,0.160221,12870
48,0,0.251296,12870
48,24,0.276119,12870
48,48,0.324089,12870
48,52,0.290121,12870
48,60,0.294405,12870
48,73,0.281417,12870
48,80,0.171813,12870
48,89,0.249139,12870
52,0,0.227220,12870
52,24,0.270336,12870
52,48,0.300917,12870
52,52,0.326225,12870
52,60,0.287835,12870
52,73,0.280314,12870
52,80,0.181078,12870
52,89,0.215684,12870
60,0,0.240300,12870
60,24,0.299320,12870
60,48,0.284665,12870
60,52,0.280998,12870
60,60,0.328080,12870
60,73,0.304698,12870
60,80,0.198236,12870
60,89,0.178783,12870
73,0,0.218288,12870
73,24,0.293609,12870
73,48,0.272174,12870
73,52,0.275328,12870
73,60,0.300932,12870
73,73,0.328475,12870
73,80,0.241074,12870
73,89,0.225821,12870
80,0,0.161373,12870
80,24,0.216847,12870
80,48,0.146111,12870
80,52,0.142414,12870
80,60,0.158858,12870
80,73,0.226236,12870
80,80,0.317717,12870
80,89,0.078710,12870
89,0,0.086215,12870
89,24,0.135136,12870
89,48,0.212674,12870
89,52,0.186038,12870
89,60,0.157260,12870
89,73,0.206702,12870
89,80,0.098239,12870
89,89,0.294129,12870
