layer,map_raw,map_centered,map_whitened,within,cross_conf,gap_conf,cross_varctl,gap_varctl,twin_inflation,sep_cross,sep_cross_varctl,eff_rank,old_gap_may28
0,0.0254,0.0263,0.0954,0.2698,0.1435,0.1262,0.0642,0.2056,0.0794,0.3288,0.2891,29.9500,0.1263
1,0.0299,0.0318,0.1249,0.2787,0.2672,0.0116,0.1181,0.1606,0.1491,0.3556,0.3083,43.6655,0.0112
2,0.0314,0.0334,0.1464,0.2906,0.3154,-0.0248,0.1425,0.1481,0.1729,0.3427,0.2961,55.6867,-0.0252
3,0.0332,0.0359,0.1645,0.2960,0.3283,-0.0322,0.1503,0.1458,0.1780,0.3387,0.2922,61.9098,-0.0329
4,0.0385,0.0421,0.2090,0.3000,0.3468,-0.0469,0.1601,0.1399,0.1867,0.3585,0.3097,62.3397,-0.0478
5,0.0426,0.0470,0.2521,0.3003,0.3528,-0.0525,0.1609,0.1394,0.1919,0.3692,0.3180,61.2950,-0.0535
6,0.0482,0.0528,0.2945,0.3031,0.3706,-0.0675,0.1691,0.1340,0.2015,0.3814,0.3282,62.0798,-0.0687
7,0.0705,0.0771,0.3177,0.3234,0.4394,-0.1160,0.2229,0.1005,0.2165,0.4320,0.3812,67.7188,-0.1172
8,0.0821,0.0887,0.3498,0.3236,0.4540,-0.1304,0.2256,0.0980,0.2284,0.4446,0.3908,70.8753,-0.1318
9,0.0959,0.1032,0.3706,0.3166,0.4608,-0.1443,0.2189,0.0977,0.2420,0.4453,0.3845,74.1066,-0.1454
10,0.1282,0.1363,0.3716,0.3022,0.4732,-0.1710,0.2183,0.0839,0.2549,0.4651,0.3950,80.8718,-0.1715
11,0.1698,0.1778,0.3817,0.2899,0.4768,-0.1869,0.2174,0.0725,0.2594,0.5008,0.4237,78.7496,-0.1869
12,0.1810,0.1853,0.3843,0.2688,0.4425,-0.1737,0.1852,0.0836,0.2573,0.4945,0.4093,69.2083,-0.1741
meanall,0.0369,0.0399,0.2716,0.2912,0.3166,-0.0254,0.1404,0.1508,0.1762,0.3795,0.3292,50.4285,-0.0281
